Reporter Name,Partner Name,Year,Trade Flow,Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),capital xpos,capital ypos
United Arab Emirates,Afghanistan,2016,Exports & Imports,1596610.74,244526.14,0.271690368,2.37948192,245,360
United Arab Emirates,Armenia,2016,Exports & Imports,65362,23494,0.026103931,0.097411156,118,321
United Arab Emirates,Azerbaijan,2016,Exports & Imports,178832.04,2442.65,0.002714002,0.266519318,139,319
United Arab Emirates,Bangladesh,2016,Exports & Imports,581200.82,251525.69,0.279467493,0.866182851,367,429
United Arab Emirates,Bahrain,2016,Exports & Imports,1773146.94,906350.89,1.007036741,2.642579672,132,411
United Arab Emirates,Brunei,2016,Exports & Imports,6309.29,31.18,3.46E-05,0.009402944,507,557
United Arab Emirates,Bhutan,2016,Exports & Imports,1051.54,2.98,3.31E-06,0.001567145,361,405
United Arab Emirates,Cambodia,2016,Exports & Imports,54746.79,108831.87,0.120921922,0.081590956,447,511
United Arab Emirates,China,2016,Exports & Imports,3662748.77,22424486.75,24.91560643,5.458715927,509,323
United Arab Emirates,Cyprus,2016,Exports & Imports,46647.63,30108.99,0.033453775,0.06952051,33,360
United Arab Emirates,Georgia,2016,Exports & Imports,73644.95,8281.62,0.009201619,0.109755511,118,310
United Arab Emirates,Hong Kong,2016,Exports & Imports,3744675.02,2779492.65,3.088264437,5.580813334,502,436
United Arab Emirates,India,2016,Exports & Imports,11255496.26,18669358.62,20.74332389,16.77443924,290,397
United Arab Emirates,Indonesia,2016,Exports & Imports,306457.36,1167388.25,1.297072549,0.456723564,468,632
United Arab Emirates,Iran,2016,Exports & Imports,8810492.67,968592.57,1.076192804,13.13056933,151,362
United Arab Emirates,Iraq,2016,Exports & Imports,5363999.9,1709396.6,1.899292207,7.994146889,106,366
United Arab Emirates,Japan,2016,Exports & Imports,853063.39,9659324.7,10.73237195,1.271348653,637,350
United Arab Emirates,Jordan,2016,Exports & Imports,642116.27,294431.45,0.327139622,0.956967166,58,375
United Arab Emirates,Kazakhstan,2016,Exports & Imports,95052.54,80048.95,0.088941529,0.141659952,289,255
United Arab Emirates,Kuwait,2016,Exports & Imports,2511372.63,923505.66,1.026097222,3.742781893,120,392
United Arab Emirates,Kyrgyzstan,2016,Exports & Imports,27645.23,30966.15,0.034406157,0.041200603,285,308
United Arab Emirates,Laos,2016,Exports & Imports,558.31,6256.82,0.006951886,0.000832068,438,462
United Arab Emirates,Lebanon,2016,Exports & Imports,876513.54,330222.53,0.366906707,1.306297189,59,361
United Arab Emirates,Macau,2016,Exports & Imports,118.86,473.41,0.000526001,0.000177141,496,439
United Arab Emirates,Malaysia,2016,Exports & Imports,552497.74,2704737.28,3.005204548,0.823405699,429,562
United Arab Emirates,Maldives,2016,Exports & Imports,104601.92,2032.55,0.002258344,0.155891709,256,549
United Arab Emirates,Mongolia,2016,Exports & Imports,3511.13,5.65,6.28E-06,0.005232753,460,269
United Arab Emirates,Myanmar,2016,Exports & Imports,119918.44,80405.01,0.089337143,0.178718427,395,452
United Arab Emirates,Nepal,2016,Exports & Imports,348915.36,1001.85,0.001113145,0.520000129,336,403
United Arab Emirates,North Korea,2016,Exports & Imports,687.39,1364.78,0.001516392,0.00102444,562,324
United Arab Emirates,Oman,2016,Exports & Imports,5147874.76,2431854.51,2.702007433,7.672048428,177,432
United Arab Emirates,Pakistan,2016,Exports & Imports,1290588.35,700266.99,0.778059133,1.923406606,266,369
United Arab Emirates,Philippines,2016,Exports & Imports,169896.62,432905.73,0.480996908,0.253202566,547,490
United Arab Emirates,Qatar,2016,Exports & Imports,2968905.76,581291.05,0.645866244,4.424658685,140,419
United Arab Emirates,Russia,2016,Exports & Imports,484499.36,1107623.98,1.23066911,0.722065459,133,210
United Arab Emirates,Saudi Arabia,2016,Exports & Imports,4762660.87,4473661.88,4.970637676,7.097951396,108,434
United Arab Emirates,Singapore,2016,Exports & Imports,2453547.97,1642185.35,1.824614508,3.656603885,446,578
United Arab Emirates,South Korea,2016,Exports & Imports,665550.17,4769820.92,5.299696805,0.991891484,570,344
United Arab Emirates,Sri Lanka,2016,Exports & Imports,389497.22,180003.98,0.200000489,0.58048062,303,541
United Arab Emirates,Syria,2016,Exports & Imports,174542.06,49198.19,0.054663581,0.260125819,70,358
United Arab Emirates,Tajikistan,2016,Exports & Imports,21744.66,410.21,0.00045578,0.032406788,248,328
United Arab Emirates,Thailand,2016,Exports & Imports,775422.77,2619590.85,2.910599264,1.155638263,424,497
United Arab Emirates,Turkey,2016,Exports & Imports,2802122.48,4661407.9,5.179240263,4.176096034,46,325
United Arab Emirates,Turkmenistan,2016,Exports & Imports,174194.84,6003.47,0.006670391,0.259608345,193,333
United Arab Emirates,Uzbekistan,2016,Exports & Imports,304855.47,7159.21,0.007954521,0.454336214,243,319
United Arab Emirates,Vietnam,2016,Exports & Imports,534847.15,2642225.4,2.935748269,0.79710044,455,445
United Arab Emirates,Yemen,2016,Exports & Imports,320345.07,287071.96,0.318962572,0.477420879,94,490
